trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
641,False,"{'a': 0.4, 'e': 0.35899999999999943}",25,8,-23.28843810015272,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
642,False,"{'a': 0.4, 'e': 0.35799999999999943}",30,15,9.20677021466684,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
643,False,"{'a': 0.4, 'e': 0.35699999999999943}",25,14,11.502140582351531,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
644,False,"{'a': 0.4, 'e': 0.35599999999999943}",30,15,-15.879001540378917,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
645,False,"{'a': 0.4, 'e': 0.3549999999999994}",30,8,-89.16919258439259,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 3}",1
646,False,"{'a': 0.4, 'e': 0.3539999999999994}",25,0,-70.36848692466438,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
647,False,"{'a': 0.4, 'e': 0.3529999999999994}",25,11,0.7639424279737383,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
648,False,"{'a': 0.4, 'e': 0.3519999999999994}",20,11,-42.6439753589199,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
649,False,"{'a': 0.4, 'e': 0.3509999999999994}",25,7,-49.50801193876128,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 0}",1
650,False,"{'a': 0.4, 'e': 0.3499999999999994}",25,2,-37.15117835055944,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 1}",1
651,False,"{'a': 0.4, 'e': 0.3489999999999994}",35,10,-2.6065589594437175,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",1
652,False,"{'a': 0.4, 'e': 0.3479999999999994}",20,13,0.5379443038426939,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
653,False,"{'a': 0.4, 'e': 0.3469999999999994}",20,11,-21.17970648570658,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
654,False,"{'a': 0.4, 'e': 0.3459999999999994}",20,3,23.23880689707466,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
655,False,"{'a': 0.4, 'e': 0.3449999999999994}",20,15,6.55785819787144,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
656,False,"{'a': 0.4, 'e': 0.3439999999999994}",30,10,-40.64351026442603,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
657,False,"{'a': 0.4, 'e': 0.3429999999999994}",20,8,-1.4112053344915152,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
658,False,"{'a': 0.4, 'e': 0.3419999999999994}",25,15,-17.228415520945163,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
659,False,"{'a': 0.4, 'e': 0.3409999999999994}",20,7,-44.738254371511196,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
660,False,"{'a': 0.4, 'e': 0.3399999999999994}",25,7,-23.280129688789188,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
661,False,"{'a': 0.4, 'e': 0.3389999999999994}",25,0,-9.839516880672532,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
662,False,"{'a': 0.4, 'e': 0.3379999999999994}",25,16,13.76725282090043,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
663,False,"{'a': 0.4, 'e': 0.3369999999999994}",25,13,20.0193652123165,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
664,False,"{'a': 0.4, 'e': 0.3359999999999994}",25,16,-6.830193634238263,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
665,False,"{'a': 0.4, 'e': 0.3349999999999994}",35,16,-22.94317965746217,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
666,False,"{'a': 0.4, 'e': 0.3339999999999994}",25,5,-29.67403821585218,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
667,False,"{'a': 0.4, 'e': 0.3329999999999994}",20,9,6.522235855325672,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
668,False,"{'a': 0.4, 'e': 0.3319999999999994}",25,12,13.81625711464807,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
669,False,"{'a': 0.4, 'e': 0.3309999999999994}",20,16,8.704925298528579,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
670,False,"{'a': 0.4, 'e': 0.3299999999999994}",25,18,13.998600891653581,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
671,False,"{'a': 0.4, 'e': 0.3289999999999994}",25,4,3.6238420307262516,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 0}",1
672,False,"{'a': 0.4, 'e': 0.3279999999999994}",20,9,12.110099146087617,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
673,False,"{'a': 0.4, 'e': 0.3269999999999994}",25,15,-2.4229662384768123,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
674,False,"{'a': 0.4, 'e': 0.3259999999999994}",30,1,-46.072040173190096,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 1}",1
675,False,"{'a': 0.4, 'e': 0.3249999999999994}",30,2,23.142895148113546,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 0}",1
676,False,"{'a': 0.4, 'e': 0.3239999999999994}",35,15,-5.274223635251381,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
677,False,"{'a': 0.4, 'e': 0.3229999999999994}",20,1,0.49834880828964,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
678,False,"{'a': 0.4, 'e': 0.3219999999999994}",20,3,-2.9472380517673216,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
679,False,"{'a': 0.4, 'e': 0.3209999999999994}",20,12,-33.38231558847802,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
680,False,"{'a': 0.4, 'e': 0.3199999999999994}",25,7,17.526441675682435,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
681,False,"{'a': 0.4, 'e': 0.3189999999999994}",20,6,22.91058325797587,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
682,False,"{'a': 0.4, 'e': 0.3179999999999994}",20,14,11.735232328271533,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
683,False,"{'a': 0.4, 'e': 0.3169999999999994}",25,6,-8.840731266242575,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
684,False,"{'a': 0.4, 'e': 0.3159999999999994}",25,17,-4.908136810460274,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
685,False,"{'a': 0.4, 'e': 0.3149999999999994}",25,20,8.264845549124226,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
686,False,"{'a': 0.4, 'e': 0.3139999999999994}",25,0,-61.96824038041899,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
687,False,"{'a': 0.4, 'e': 0.3129999999999994}",20,0,-62.02531967338076,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
688,False,"{'a': 0.4, 'e': 0.3119999999999994}",25,15,15.093456812975727,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
689,False,"{'a': 0.4, 'e': 0.3109999999999994}",20,12,-8.90578392406518,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
690,False,"{'a': 0.4, 'e': 0.3099999999999994}",20,0,-3.056920175038326,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
691,False,"{'a': 0.4, 'e': 0.3089999999999994}",30,22,17.50883530944702,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
692,False,"{'a': 0.4, 'e': 0.3079999999999994}",20,14,13.188209945087694,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
693,False,"{'a': 0.4, 'e': 0.3069999999999994}",30,12,-14.93850223819034,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 0}",1
694,False,"{'a': 0.4, 'e': 0.3059999999999994}",30,12,-12.240696283193834,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
695,False,"{'a': 0.4, 'e': 0.3049999999999994}",20,11,-22.807904784048894,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
696,False,"{'a': 0.4, 'e': 0.3039999999999994}",20,14,12.529828727817023,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
697,False,"{'a': 0.4, 'e': 0.3029999999999994}",25,11,21.44383056545923,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
698,False,"{'a': 0.4, 'e': 0.3019999999999994}",30,15,25.819391423953693,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
699,False,"{'a': 0.4, 'e': 0.3009999999999994}",20,0,4.382985224995224,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
700,False,"{'a': 0.4, 'e': 0.2999999999999994}",25,17,14.176376173761446,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
701,False,"{'a': 0.4, 'e': 0.2989999999999994}",20,3,-75.98764835927471,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 2}",1
702,False,"{'a': 0.4, 'e': 0.2979999999999994}",25,9,13.116969957017014,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
703,False,"{'a': 0.4, 'e': 0.2969999999999994}",30,15,-6.8999885781358,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
704,False,"{'a': 0.4, 'e': 0.2959999999999994}",25,0,-47.39019433086595,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
705,False,"{'a': 0.4, 'e': 0.2949999999999994}",30,16,-10.737652486159526,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
706,False,"{'a': 0.4, 'e': 0.2939999999999994}",35,12,-90.33851830020173,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 3}",1
707,False,"{'a': 0.4, 'e': 0.29299999999999937}",25,13,20.388337481517276,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
708,False,"{'a': 0.4, 'e': 0.29199999999999937}",30,16,-11.87905911617629,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
709,False,"{'a': 0.4, 'e': 0.29099999999999937}",20,1,-84.25677274173273,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 2}",1
710,False,"{'a': 0.4, 'e': 0.28999999999999937}",25,7,-13.589759062019628,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
711,False,"{'a': 0.4, 'e': 0.28899999999999937}",20,12,12.371970699142794,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
712,False,"{'a': 0.4, 'e': 0.28799999999999937}",20,14,12.889818067837954,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
713,False,"{'a': 0.4, 'e': 0.28699999999999937}",20,6,-29.462432574420934,"{0: 8, 1: 3, 2: 3, 3: 0, 4: 0}",1
714,False,"{'a': 0.4, 'e': 0.28599999999999937}",20,14,10.764125067873756,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
715,False,"{'a': 0.4, 'e': 0.28499999999999936}",30,12,24.91708686808896,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
716,False,"{'a': 0.4, 'e': 0.28399999999999936}",25,13,-15.978768597924788,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
717,False,"{'a': 0.4, 'e': 0.28299999999999936}",20,10,-3.596362563167405,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
718,False,"{'a': 0.4, 'e': 0.28199999999999936}",30,6,-17.908316381058203,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
719,False,"{'a': 0.4, 'e': 0.28099999999999936}",20,2,-43.22143348471034,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
720,False,"{'a': 0.4, 'e': 0.27999999999999936}",20,14,-10.613789177250341,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
721,False,"{'a': 0.4, 'e': 0.27899999999999936}",20,12,12.454985243487855,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
722,False,"{'a': 0.4, 'e': 0.27799999999999936}",20,10,-18.69718373883366,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
723,False,"{'a': 0.4, 'e': 0.27699999999999936}",25,0,-16.21552853779325,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
724,False,"{'a': 0.4, 'e': 0.27599999999999936}",20,16,10.524211794553308,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
725,False,"{'a': 0.4, 'e': 0.27499999999999936}",20,11,-69.23067294422361,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 2}",1
726,False,"{'a': 0.4, 'e': 0.27399999999999936}",25,3,-32.894314487405445,"{0: 19, 1: 1, 2: 0, 3: 1, 4: 1}",1
727,False,"{'a': 0.4, 'e': 0.27299999999999935}",20,6,-21.347697398275393,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
728,False,"{'a': 0.4, 'e': 0.27199999999999935}",25,14,-34.357947997091635,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
729,False,"{'a': 0.4, 'e': 0.27099999999999935}",20,16,8.673572599663924,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
730,False,"{'a': 0.4, 'e': 0.26999999999999935}",20,0,3.6873227252145986,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
731,False,"{'a': 0.4, 'e': 0.26899999999999935}",30,15,-1.3577389569308913,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
732,False,"{'a': 0.4, 'e': 0.26799999999999935}",20,12,16.385298353707313,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
733,False,"{'a': 0.4, 'e': 0.26699999999999935}",30,8,1.1075509849886633,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 0}",1
734,False,"{'a': 0.4, 'e': 0.26599999999999935}",25,17,15.719957537033292,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
735,False,"{'a': 0.4, 'e': 0.26499999999999935}",20,11,19.459668655248976,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
736,False,"{'a': 0.4, 'e': 0.26399999999999935}",25,0,-77.0616911990834,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
737,False,"{'a': 0.4, 'e': 0.26299999999999935}",25,12,-3.5343275057449968,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
738,False,"{'a': 0.4, 'e': 0.26199999999999934}",25,14,-16.6455594587598,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
739,False,"{'a': 0.4, 'e': 0.26099999999999934}",20,0,21.02255181682078,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
740,False,"{'a': 0.4, 'e': 0.25999999999999934}",20,12,3.0279374813296984,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
741,False,"{'a': 0.4, 'e': 0.25899999999999934}",30,8,-26.53987853257535,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
742,False,"{'a': 0.4, 'e': 0.25799999999999934}",25,0,-153.54425654497973,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 4}",0
743,False,"{'a': 0.4, 'e': 0.25699999999999934}",20,11,13.167536129378673,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
744,False,"{'a': 0.4, 'e': 0.25599999999999934}",20,0,18.709039931780566,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
745,False,"{'a': 0.4, 'e': 0.25499999999999934}",25,17,16.811959921738463,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
746,False,"{'a': 0.4, 'e': 0.25399999999999934}",25,18,12.949075104535513,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
747,False,"{'a': 0.4, 'e': 0.25299999999999934}",25,1,12.076517688136848,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
748,False,"{'a': 0.4, 'e': 0.25199999999999934}",20,11,15.531370416380536,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
749,False,"{'a': 0.4, 'e': 0.25099999999999933}",25,13,7.571759147578456,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
750,False,"{'a': 0.4, 'e': 0.24999999999999933}",30,6,-2.396622574738906,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 0}",1
751,False,"{'a': 0.4, 'e': 0.24899999999999933}",20,11,17.308556092214022,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
752,False,"{'a': 0.4, 'e': 0.24799999999999933}",25,17,-6.553889803808017,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
753,False,"{'a': 0.4, 'e': 0.24699999999999933}",20,10,-27.156307208085384,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
754,False,"{'a': 0.4, 'e': 0.24599999999999933}",20,0,-3.824915493441231,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
755,False,"{'a': 0.4, 'e': 0.24499999999999933}",25,15,22.527214126784465,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
756,False,"{'a': 0.4, 'e': 0.24399999999999933}",30,20,-0.9126323378813705,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
757,False,"{'a': 0.4, 'e': 0.24299999999999933}",20,12,-7.230281810596814,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
758,False,"{'a': 0.4, 'e': 0.24199999999999933}",25,0,26.13317829263611,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
759,False,"{'a': 0.4, 'e': 0.24099999999999933}",25,7,9.62388812446066,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
760,False,"{'a': 0.4, 'e': 0.23999999999999932}",20,8,20.226300102857163,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
761,False,"{'a': 0.4, 'e': 0.23899999999999932}",25,13,-2.5878791419636107,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
762,False,"{'a': 0.4, 'e': 0.23799999999999932}",25,19,1.722912829622754,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
763,False,"{'a': 0.4, 'e': 0.23699999999999932}",25,14,20.731842390150764,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
764,False,"{'a': 0.4, 'e': 0.23599999999999932}",20,5,11.581458309711579,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
